Kazakhstan,9731.1,9812.6,9247.6,6.8,6.7
Kenya,1816.5,1708.0,1572.3,90.3,88.2
Kiribati,1655.1,1698.3,1640.5,143.0,140.9
"Korea, Dem. People’s Rep.",..,..,..,212.2,211.2
"Korea, Rep.",31762.0,33340.3,31616.8,529.4,526.8
Kosovo,4417.5,4419.9,4045.6,..,164.5
Kuwait,32032.0,33994.4,29759.4,232.2,227.6
Kyrgyz Republic,1309.4,1308.1,1242.8,33.0,32.3
Lao PDR,2534.9,2542.5,2423.8,30.6,30.1
Latvia,17836.4,17805.3,15586.6,31.0,31.2
Lebanon,7784.3,8024.8,7801.2,669.5,665.9
Lesotho,1157.5,1221.9,1150.1,69.4,68.9
Liberia,621.9,677.3,698.7,50.0,48.8
Libya,7683.8,7877.1,5756.7,3.8,3.7
Liechtenstein,..,..,173356.1,236.9,236.3
Lithuania,19455.5,19080.6,16882.6,44.7,45.2
Luxembourg,114704.6,116654.3,107627.2,250.2,245.4
"Macao SAR, China",84096.4,87208.5,81516.7,20777.5,20479.8
North Macedonia,6093.1,6062.9,5430.9,82.6,82.6
Madagascar,522.2,527.5,515.3,45.1,44.0
Malawi,411.6,381.3,356.7,192.4,187.4
Malaysia,11414.8,11373.2,10254.2,96.0,94.7
Maldives,10790.5,10330.6,9540.6,1719.0,1654.7
Mali,890.7,900.1,830.6,15.6,15.2
Malta,29416.2,30133.5,27239.1,1514.5,1462.5
Marshall Islands,..,3788.2,3666.7,324.5,322.5
Mauritania,1677.9,1600.9,1578.1,4.3,4.2
Mauritius,11203.5,11208.2,10484.9,623.3,623.0
Mexico,9863.1,9673.4,9278.4,64.9,64.2
"Micronesia, Fed. Sts.",..,3568.3,3289.7,160.9,159.2
Moldova,4498.5,4234.0,3509.7,94.3,96.0
Monaco,..,185829.0,167517.1,..,19196.0
Mongolia,4295.2,4135.0,3669.4,2.0,2.0
Montenegro,8832.0,8850.1,7803.4,46.3,46.3
Morocco,3204.1,3222.2,3036.3,80.7,79.7
Mozambique,491.8,499.0,461.4,37.5,36.4
Myanmar,1407.8,1418.2,1291.5,82.2,81.7
Namibia,4957.5,5495.4,5303.3,3.0,2.9
Nauru,9397.0,9762.4,8510.9,635.2,643.8
Nepal,1071.1,1038.7,911.4,195.9,192.7
Netherlands,52447.8,53048.1,48675.2,511.5,508.5
New Caledonia,..,..,..,15.5,15.3
New Zealand,42084.4,42949.9,42849.4,18.4,18.2
Nicaragua,1912.9,2020.5,2159.2,53.7,53.1
